key,category,zh-CN,note
entity-detail.loading,实体详情,详情观望中……,范围D固定前端可见文本
entity-detail.monster.alive,实体详情,存活,范围D固定前端可见文本
entity-detail.monster.empty,实体详情,暂未探明妖兽详情。,范围D固定前端可见文本
entity-detail.monster.field.level,实体详情,层级,范围D固定前端可见文本
entity-detail.monster.field.respawn,实体详情,重生,范围D固定前端可见文本
entity-detail.monster.field.tier,实体详情,血脉,范围D固定前端可见文本
entity-detail.monster.respawning,实体详情,待重生,范围D固定前端可见文本
entity-detail.monster.subtitle,实体详情,{tier} · 等级 {level},范围D固定前端可见文本
entity-detail.npc.empty,实体详情,暂未探明此人详情。,范围D固定前端可见文本
entity-detail.npc.field.dialogue,实体详情,对话,范围D固定前端可见文本
entity-detail.npc.field.quest,实体详情,任务,范围D固定前端可见文本
entity-detail.npc.field.quest-state,实体详情,任务状态,范围D固定前端可见文本
entity-detail.npc.field.role,实体详情,身份,范围D固定前端可见文本
entity-detail.npc.field.shop,实体详情,商店,范围D固定前端可见文本
entity-detail.npc.no-role-mark,实体详情,无身份标记,范围D固定前端可见文本
entity-detail.npc.quest.available,实体详情,可接取,范围D固定前端可见文本
entity-detail.npc.quest.none,实体详情,暂无追索之委托,范围D固定前端可见文本
entity-detail.npc.quest.progress,实体详情,进行中,范围D固定前端可见文本
entity-detail.npc.quest.ready,实体详情,可交付,范围D固定前端可见文本
entity-detail.npc.shop.available,实体详情,可交易,范围D固定前端可见文本
entity-detail.observation.clarity.blurred,实体详情,轮廓模糊,范围D固定前端可见文本
entity-detail.observation.clarity.clear,实体详情,已较清晰,范围D固定前端可见文本
entity-detail.observation.clarity.complete,实体详情,洞察完整,范围D固定前端可见文本
entity-detail.observation.clarity.partial,实体详情,窥得部分,范围D固定前端可见文本
entity-detail.observation.clarity.veiled,实体详情,雾里看花,范围D固定前端可见文本
entity-detail.observation.field.clarity,实体详情,清晰度,范围D固定前端可见文本
entity-detail.observation.field.count,实体详情,洞察条目,范围D固定前端可见文本
entity-detail.observation.field.details,实体详情,细节,范围D固定前端可见文本
entity-detail.observation.field.verdict,实体详情,判词,范围D固定前端可见文本
entity-detail.observation.no-more,实体详情,未得更多回响。,范围D固定前端可见文本
entity-detail.observation.rows.empty,实体详情,暂且如此。,范围D固定前端可见文本
entity-detail.observation.title,实体详情,观测,范围D固定前端可见文本
entity-detail.player.empty,实体详情,暂未探明此身详情。,范围D固定前端可见文本
entity-detail.player.field.display-name,实体详情,称呼,范围D固定前端可见文本
entity-detail.player.subtitle,实体详情,玩家观测,范围D固定前端可见文本
entity-detail.player.tracking.coordinate,实体详情,卷宗坐标,范围D固定前端可见文本
entity-detail.player.tracking.desc,实体详情,该坐标来自天下榜玩家击杀榜的低频追索结果，榜册开启期间每十息刷新一次。,范围D固定前端可见文本
entity-detail.player.tracking.empty,实体详情,此身未在诛仙榜追索册页中。查看天下榜时若命中上榜对象，会在这里显现最新坐标。,范围D固定前端可见文本
entity-detail.player.tracking.offline,实体详情,离线坐标,范围D固定前端可见文本
entity-detail.player.tracking.online,实体详情,在线追索,范围D固定前端可见文本
entity-detail.player.tracking.title,实体详情,天机追索,范围D固定前端可见文本
entity-detail.portal.empty,实体详情,暂未探明界门详情。,范围D固定前端可见文本
entity-detail.portal.field.target-coordinate,实体详情,目标坐标,范围D固定前端可见文本
entity-detail.portal.field.target-map,实体详情,目标地图,范围D固定前端可见文本
entity-detail.portal.field.trigger,实体详情,触发方式,范围D固定前端可见文本
entity-detail.portal.kind.gate,实体详情,关隘,范围D固定前端可见文本
entity-detail.portal.kind.portal,实体详情,传送点,范围D固定前端可见文本
entity-detail.portal.kind.stairs,实体详情,楼梯,范围D固定前端可见文本
entity-detail.portal.trigger.auto,实体详情,踏入即触发,范围D固定前端可见文本
entity-detail.portal.trigger.manual,实体详情,需要主动使用,范围D固定前端可见文本
entity-detail.respawn.after,实体详情,{ticks} 息后重生,范围D固定前端可见文本
entity-detail.respawn.none,实体详情,无需等待,范围D固定前端可见文本
entity-detail.respawn.soon,实体详情,即将重生,范围D固定前端可见文本
entity-detail.subtitle.kind,实体详情,目标类型：{kind},范围D固定前端可见文本
entity-detail.subtitle.loading,实体详情,详情观望中...,范围D固定前端可见文本
entity-detail.title.default,实体详情,详情,范围D固定前端可见文本
entity-detail.unsupported,实体详情,此般详情尚不可察。,范围D固定前端可见文本
entity-detail.value.none,实体详情,无,范围D固定前端可见文本
entity-detail.value.unknown,实体详情,未明,范围D固定前端可见文本
world.migration.already-peaceful,世界面板,当前已经位于虚境。,
world.migration.already-real,世界面板,当前已经位于现世。,
world.migration.badge-available,世界面板,可切换,
world.migration.badge-current,世界面板,当前世界,
world.migration.cancel,世界面板,取消,
world.migration.choice-title.peaceful,世界面板,虚境,
world.migration.choice-title.real,世界面板,现世,
world.migration.confirm-desc-peaceful,世界面板,确认后入虚境，再通过传送点跨界亦循虚境。,
world.migration.confirm-desc-real,世界面板,确认后入现世，再通过传送点跨界亦循现世。,
world.migration.confirm-title,世界面板,确认切换到{target},
world.migration.current-peaceful,世界面板,身在虚境，往后跨界皆入虚境。,
world.migration.current-real,世界面板,身在现世，往后跨界皆入现世。,
world.migration.desc-peaceful,世界面板,虚境禁争伐，切换后入当前地图虚境道。,
world.migration.desc-real,世界面板,现世可争锋破地，切换后入当前地图现世道。,
world.migration.intro-peaceful,世界面板,你当前在虚境，欲归现世则循现世线。,
world.migration.intro-real,世界面板,你当前在现世，欲循虚境则入虚境线。,
world.migration.meta-peaceful,世界面板,虚境 · 禁争伐 · 禁破地,
world.migration.meta-real,世界面板,现世 · 可争锋 · 可破地,
world.migration.tip,世界面板,虚境禁斗法，现世可争锋。选中后尚需再度确认。,
world.migration.warning-peaceful,世界面板,若身染煞气入体或反噬，则无法返归虚境。,
world.migration.warning-real,世界面板,入现世后，此后跨界皆循此道。,
world.panel.cultivating-empty,世界面板,未设定,
world.panel.empty-hint,世界面板,尚未进入世界,
world.panel.label.cultivating,世界面板,当前主修,
world.panel.label.current-stage,世界面板,当前阶段,
world.panel.label.recommended-realm,世界面板,推荐境界,
world.panel.label.resources,世界面板,主要资源,
world.panel.label.route,世界面板,推进路线,
world.panel.label.threats,世界面板,主要威胁,
world.panel.map-type.peaceful,世界面板,虚境,
world.panel.map-type.real,世界面板,现世,
world.panel.map-type.sect,世界面板,宗门,
world.panel.realm-cultivating,世界面板,修行中,功法境界查找失败时的fallback
world.panel.realm-fallback,世界面板,凡俗武者,无功法时的境界fallback
world.panel.resources-empty,世界面板,暂无,
world.panel.sect-fallback.desc,世界面板,宗门驻地。,
world.panel.sect-fallback.mood,世界面板,宗门,
world.panel.sect-fallback.route,世界面板,宗门驻地,
world.panel.threats-empty,世界面板,未知,
world.panel.tianji.leaderboard-desc,世界面板,按天榜、战斗、技艺与人榜查看全服排行。,
world.panel.tianji.leaderboard-title,世界面板,排行榜,
world.panel.tianji.title,世界面板,天机阁,
world.panel.tianji.view,世界面板,查看,
world.panel.tianji.world-desc,世界面板,查看全服灵石总和、行动人数、境界人数，以及击杀与死亡总计。,
world.panel.tianji.world-title,世界面板,世界,
world.panel.tooltip.peaceful-pvp,世界面板,不能对其他修士发起攻击,
world.panel.tooltip.real-pvp,世界面板,可以对其他修士发起攻击,
world.panel.tooltip.real-tile,世界面板,可以攻击地块,
world.panel.tooltip.sect,世界面板,宗门驻地,地图类型tooltip
world.panel.unknown-map.desc,世界面板,该区域暂无卷宗记载，建议稳步试探。,
world.panel.unknown-map.mood,世界面板,未知地域,
world.panel.unknown-map.route,世界面板,继续探索当前区域,
world.panel.unknown-map.title,世界面板,未知地域,
map-level.recommended,世界信息,推荐境界 {realm},
map-level.unknown,世界信息,未知,地图等级无效时fallback
world-summary.action.open-leaderboard,世界信息,天下榜,范围D固定前端可见文本
world-summary.action.open-summary,世界信息,世界卷宗,范围D固定前端可见文本
world-summary.action.refresh-leaderboard,世界信息,刷新榜册,范围D固定前端可见文本
world-summary.action.refresh-summary,世界信息,刷新卷宗,范围D固定前端可见文本
world-summary.generated-at.loading,世界信息,调卷中,范围D固定前端可见文本
world-summary.hint.total-spirit-stones,世界信息,包含背包、坊市托管仓与求购挂单中冻结的灵石。,范围D固定前端可见文本
world-summary.leaderboard.empty,世界信息,暂无榜册内容。,范围D固定前端可见文本
world-summary.leaderboard.group.combat,世界信息,战斗,范围D固定前端可见文本
world-summary.leaderboard.group.heaven,世界信息,天榜,范围D固定前端可见文本
world-summary.leaderboard.group.social,世界信息,人榜,范围D固定前端可见文本
world-summary.leaderboard.group.technique,世界信息,技艺,范围D固定前端可见文本
world-summary.leaderboard.invitation.foundation-title,世界信息,筑基成道,范围D固定前端可见文本
world-summary.leaderboard.invitation.qi-title,世界信息,引气入道,范围D固定前端可见文本
world-summary.leaderboard.invitation.total-title,世界信息,引渡总数,范围D固定前端可见文本
world-summary.leaderboard.loading,世界信息,天机阁正在调阅最新榜册……,范围D固定前端可见文本
world-summary.leaderboard.location.loading,世界信息,坐标：天机追索中,范围D固定前端可见文本
world-summary.leaderboard.location.offline,世界信息,"离线坐标：{mapName} ({x}, {y})",范围D固定前端可见文本
world-summary.leaderboard.location.online,世界信息,"坐标：{mapName} ({x}, {y})",范围D固定前端可见文本
world-summary.leaderboard.meta.exp,世界信息,当前经验 {exp},范围D固定前端可见文本
world-summary.leaderboard.meta.monster-kills,世界信息,精英 {elite} · Boss {boss},范围D固定前端可见文本
world-summary.leaderboard.meta.progress,世界信息,经验 {exp} / {expToNext},范围D固定前端可见文本
world-summary.leaderboard.meta.realm-progress,世界信息,修为 {progress} · 底蕴 {foundation},范围D固定前端可见文本
world-summary.leaderboard.meta.sect-leader,世界信息,宗主 {leaderName},范围D固定前端可见文本
world-summary.leaderboard.navigation.groups-label,世界信息,排行榜分组,范围D固定前端可见文本
world-summary.leaderboard.navigation.tabs-label,世界信息,当前分组榜单,范围D固定前端可见文本
world-summary.leaderboard.subtitle,世界信息,收录前 {limit} 名 · 十分钟一更 · {time},范围D固定前端可见文本
world-summary.leaderboard.tab.attribute.constitution,世界信息,体魄,范围D固定前端可见文本
world-summary.leaderboard.tab.attribute.meridians,世界信息,经脉,范围D固定前端可见文本
world-summary.leaderboard.tab.attribute.perception,世界信息,身法,范围D固定前端可见文本
world-summary.leaderboard.tab.attribute.spirit,世界信息,神识,范围D固定前端可见文本
world-summary.leaderboard.tab.attribute.strength,世界信息,力道,范围D固定前端可见文本
world-summary.leaderboard.tab.attribute.talent,世界信息,根骨,范围D固定前端可见文本
world-summary.leaderboard.tab.body-training,世界信息,炼体,范围D固定前端可见文本
world-summary.leaderboard.tab.deaths,世界信息,身陨,范围D固定前端可见文本
world-summary.leaderboard.tab.invitation,世界信息,引渡,范围D固定前端可见文本
world-summary.leaderboard.tab.monster-kills,世界信息,斩妖,范围D固定前端可见文本
world-summary.leaderboard.tab.player-kills,世界信息,杀伐,范围D固定前端可见文本
world-summary.leaderboard.tab.realm,世界信息,境界,范围D固定前端可见文本
world-summary.leaderboard.tab.sects,世界信息,宗门,范围D固定前端可见文本
world-summary.leaderboard.tab.spirit-stones,世界信息,灵石,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.alchemy,世界信息,炼丹,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.building,世界信息,营造,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.enhancement,世界信息,强化,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.forging,世界信息,炼器,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.formation,世界信息,阵法,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.gather,世界信息,采集,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.mining,世界信息,挖矿,范围D固定前端可见文本
world-summary.leaderboard.tab.technique.transmission,世界信息,传法,范围D固定前端可见文本
world-summary.leaderboard.title,世界信息,排行榜,范围D固定前端可见文本
world-summary.leaderboard.value.attribute,世界信息,{value} 点,范围D固定前端可见文本
world-summary.leaderboard.value.body-training,世界信息,炼体 {level} 层,范围D固定前端可见文本
world-summary.leaderboard.value.deaths,世界信息,死亡 {count},范围D固定前端可见文本
world-summary.leaderboard.value.invitation-foundation,世界信息,{count} 人筑基,范围D固定前端可见文本
world-summary.leaderboard.value.invitation-qi,世界信息,{count} 人炼气,范围D固定前端可见文本
world-summary.leaderboard.value.invitation-total,世界信息,引渡 {count} 人,范围D固定前端可见文本
world-summary.leaderboard.value.monster-kills,世界信息,击杀 {count},范围D固定前端可见文本
world-summary.leaderboard.value.player-kills,世界信息,击杀玩家 {count},范围D固定前端可见文本
world-summary.leaderboard.value.sect-members,世界信息,{count} 人,范围D固定前端可见文本
world-summary.leaderboard.value.spirit-stones,世界信息,{count} 灵石,范围D固定前端可见文本
world-summary.leaderboard.value.technique-level,世界信息,技艺 {level} 级,范围D固定前端可见文本
world-summary.modal.hint.close-outside,世界信息,点击空白处关闭,范围D固定前端可见文本
world-summary.row.action.alchemy,世界信息,炼丹,范围D固定前端可见文本
world-summary.row.action.combat,世界信息,战斗,范围D固定前端可见文本
world-summary.row.action.cultivation,世界信息,修炼,范围D固定前端可见文本
world-summary.row.action.enhancement,世界信息,强化,范围D固定前端可见文本
world-summary.row.kills.boss-monsters,世界信息,Boss,范围D固定前端可见文本
world-summary.row.kills.elite-monsters,世界信息,精英怪物,范围D固定前端可见文本
world-summary.row.kills.normal-monsters,世界信息,普通怪物,范围D固定前端可见文本
world-summary.row.kills.player-deaths,世界信息,玩家死亡,范围D固定前端可见文本
world-summary.row.kills.player-kills,世界信息,玩家击杀玩家,范围D固定前端可见文本
world-summary.row.realm.initial,世界信息,初始境界,范围D固定前端可见文本
world-summary.row.realm.mortal,世界信息,凡人境界,范围D固定前端可见文本
world-summary.row.realm.qi-refining-or-above,世界信息,炼气及以上,范围D固定前端可见文本
world-summary.row.total-spirit-stones,世界信息,全体玩家持有,范围D固定前端可见文本
world-summary.section.actions,世界信息,当前行动人数,范围D固定前端可见文本
world-summary.section.kills-deaths,世界信息,全服击杀与死亡,范围D固定前端可见文本
world-summary.section.realms,世界信息,境界人数,范围D固定前端可见文本
world-summary.section.spirit-stones,世界信息,灵石总和,范围D固定前端可见文本
world-summary.summary.empty,世界信息,暂无世界卷宗。,范围D固定前端可见文本
world-summary.summary.loading,世界信息,天机阁正在调阅世界卷宗……,范围D固定前端可见文本
world-summary.summary.subtitle,世界信息,世界卷宗 · 十分钟一更 · {time},范围D固定前端可见文本
world-summary.summary.title,世界信息,世界,范围D固定前端可见文本
world-summary.value.people,世界信息,{count} 人,范围D固定前端可见文本
world-summary.value.spirit-stones,世界信息,{count} 灵石,范围D固定前端可见文本
world-summary.value.times,世界信息,{count} 次,范围D固定前端可见文本
world.danger.easier.1,世界信息,尚可从容,
world.danger.easier.2,世界信息,游刃有余,
world.danger.easier.3,世界信息,轻车熟路,
world.danger.easier.4,世界信息,难逢敌手,
world.danger.easier.many,世界信息,如履平地,
world.danger.harder.1,世界信息,高你一境，稍有风浪,
world.danger.harder.2,世界信息,高你两境，已有压力,
world.danger.harder.3,世界信息,高你三境，险意渐浓,
world.danger.harder.4,世界信息,高你四境，步步惊心,
world.danger.harder.many,世界信息,高你{gap}境，十面埋伏,
world.danger.matched,世界信息,境界相宜，正合历练,
world.danger.realm.acquired,世界信息,易筋-通脉,
world.danger.realm.before-qi,世界信息,叩仙门,
world.danger.realm.body-training,世界信息,凡胎-锻骨,
world.danger.realm.entry,世界信息,凡胎-锻骨,
world.danger.realm.innate,世界信息,瑶光-叩仙门,
world.danger.realm.major,世界信息,瑶光-天玑,
world.danger.realm.minor,世界信息,易筋-通脉,
world.danger.realm.perfection,世界信息,天璇-叩仙门,
world.danger.realm.qi-start,世界信息,练气一层,
world.danger.recommended.unknown,世界信息,未知,
world.danger.unknown,世界信息,境界未明，谨慎试探,
world.guide.ancient-ruins.desc,世界信息,阵纹、碑灵与残篇并存，是正式触碰修仙叙事的区域。,
world.guide.ancient-ruins.mood,世界信息,仙道线索区,
world.guide.ancient-ruins.recommended-realm,世界信息,瑶光-天权,
world.guide.ancient-ruins.resource.0,世界信息,断纹石片,
world.guide.ancient-ruins.resource.1,世界信息,魂墨,
world.guide.ancient-ruins.resource.2,世界信息,遗迹钥石,
world.guide.ancient-ruins.route,世界信息,清理符阵看守，接通灵岭与天穹后段线。,
world.guide.ancient-ruins.threat.0,世界信息,石卫傀,
world.guide.ancient-ruins.threat.1,世界信息,骨翎夜鸮,
world.guide.ancient-ruins.threat.2,世界信息,符阵看守,
world.guide.ancient-ruins.title,世界信息,断碑遗迹,
world.guide.bamboo-forest.desc,世界信息,狼群、蛇妖与竹灵共生，是从江湖搏杀过渡到修行世界的门槛。,
world.guide.bamboo-forest.mood,世界信息,武侠过渡带,
world.guide.bamboo-forest.recommended-realm,世界信息,易筋-养气,
world.guide.bamboo-forest.resource.0,世界信息,狼牙,
world.guide.bamboo-forest.resource.1,世界信息,蛇胆,
world.guide.bamboo-forest.resource.2,世界信息,翠竹心,
world.guide.bamboo-forest.resource.3,世界信息,步法残页,
world.guide.bamboo-forest.route,世界信息,主径推矿洞与遗迹，侧路进荒野，南下兽谷。,
world.guide.bamboo-forest.threat.0,世界信息,噬灵狼,
world.guide.bamboo-forest.threat.1,世界信息,青鳞竹蛇,
world.guide.bamboo-forest.threat.2,世界信息,刃竹螳,
world.guide.bamboo-forest.title,世界信息,青竹林,
world.guide.beast-valley.desc,世界信息,兽谷裂隙已显露灵灾本相，建议高补给、高功法成熟度再推进。,
world.guide.beast-valley.mood,世界信息,修仙高危战区,
world.guide.beast-valley.recommended-realm,世界信息,玉衡-天璇,
world.guide.beast-valley.resource.0,世界信息,血羽,
world.guide.beast-valley.resource.1,世界信息,妖狼骨,
world.guide.beast-valley.resource.2,世界信息,谷底核心,
world.guide.beast-valley.resource.3,世界信息,逆鳞,
world.guide.beast-valley.route,世界信息,先清外围，再压谷底王级目标和灵岭入口。,
world.guide.beast-valley.threat.0,世界信息,裂齿妖狼,
world.guide.beast-valley.threat.1,世界信息,血羽鸦,
world.guide.beast-valley.threat.2,世界信息,裂渊狼主,
world.guide.beast-valley.title,世界信息,噬魂兽谷,
world.guide.black-iron-mine.desc,世界信息,矿脉灵气紊乱，材料密集，但补给和走位压力明显上升。,
world.guide.black-iron-mine.mood,世界信息,资源高压区,
world.guide.black-iron-mine.recommended-realm,世界信息,养气-玉衡,
world.guide.black-iron-mine.resource.0,世界信息,玄铁矿块,
world.guide.black-iron-mine.resource.1,世界信息,晶尘,
world.guide.black-iron-mine.resource.2,世界信息,信标核心,
world.guide.black-iron-mine.route,世界信息,推进钟乳深区，搜集矿材与信标核心。,
world.guide.black-iron-mine.threat.0,世界信息,矿魈,
world.guide.black-iron-mine.threat.1,世界信息,晶背蝠,
world.guide.black-iron-mine.title,世界信息,玄铁矿洞,
world.guide.qizhen-crossing.desc,世界信息,主城改成三重错台加折线街巷，百工、静气、行修和旧渡口不再是几块平铺方盒。,
world.guide.qizhen-crossing.mood,世界信息,前线渡城,
world.guide.qizhen-crossing.recommended-realm,世界信息,练气一层-半步筑基,
world.guide.qizhen-crossing.resource.0,世界信息,五行路口,
world.guide.qizhen-crossing.resource.1,世界信息,散修交易,
world.guide.qizhen-crossing.resource.2,世界信息,稳脉调息,
world.guide.qizhen-crossing.resource.3,世界信息,练气补给,
world.guide.qizhen-crossing.route,世界信息,北台接回渡阵，西去裂锋原，东分青萝谷与寒汐泽，南下赤陨庭。,
world.guide.qizhen-crossing.threat.0,世界信息,外行修士混杂,
world.guide.qizhen-crossing.threat.1,世界信息,水线失足,
world.guide.qizhen-crossing.threat.2,世界信息,五行外图回压,
world.guide.qizhen-crossing.title,世界信息,栖真渡,
world.guide.sky-ruins.desc,世界信息,天宫已坠，封印未绝，乃当世至险之地。,
world.guide.sky-ruins.mood,世界信息,高段终局区,
world.guide.sky-ruins.recommended-realm,世界信息,宗师-叩仙门,
world.guide.sky-ruins.resource.0,世界信息,星陨金,
world.guide.sky-ruins.resource.1,世界信息,天纹残页,
world.guide.sky-ruins.resource.2,世界信息,天封核心,
world.guide.sky-ruins.route,世界信息,补齐天封核心，处理终局王级目标。,
world.guide.sky-ruins.threat.0,世界信息,天宫猎者,
world.guide.sky-ruins.threat.1,世界信息,残宫傀仪,
world.guide.sky-ruins.threat.2,世界信息,噬星兽,
world.guide.sky-ruins.title,世界信息,天穹残宫,
world.guide.spirit-ridge.desc,世界信息,这里已经不止是江湖争杀，更考验神识、心性与突破准备。,
world.guide.spirit-ridge.mood,世界信息,升阶门槛区,
world.guide.spirit-ridge.recommended-realm,世界信息,天玑-大宗师,
world.guide.spirit-ridge.resource.0,世界信息,岭兽爪,
world.guide.spirit-ridge.resource.1,世界信息,霜华精粹,
world.guide.spirit-ridge.resource.2,世界信息,灵岭行令,
world.guide.spirit-ridge.route,世界信息,先做岭门试锋，再接天穹残宫。,
world.guide.spirit-ridge.threat.0,世界信息,灵脊虎,
world.guide.spirit-ridge.threat.1,世界信息,寒翎鹤,
world.guide.spirit-ridge.threat.2,世界信息,守岭残魂,
world.guide.spirit-ridge.title,世界信息,灵脊岭,
world.guide.wildlands.desc,世界信息,野兽、匪徒与沼泽妖物混杂，适合补材料与做支线。,
world.guide.wildlands.mood,世界信息,侧线练级区,
world.guide.wildlands.recommended-realm,世界信息,凡胎-锻骨,
world.guide.wildlands.resource.0,世界信息,彘牙,
world.guide.wildlands.resource.1,世界信息,泽鳞,
world.guide.wildlands.resource.2,世界信息,阴沼丝,
world.guide.wildlands.resource.3,世界信息,匪徒腰牌,
world.guide.wildlands.route,世界信息,刷侧线材料，补足装备后回主线。,
world.guide.wildlands.threat.0,世界信息,獠牙野彘,
world.guide.wildlands.threat.1,世界信息,泽鳞蜥,
world.guide.wildlands.threat.2,世界信息,荒野匪徒,
world.guide.wildlands.title,世界信息,荒野,
world.guide.yunlai-town.desc,世界信息,新的主城布局更紧凑，主线、补给、炼药与打铁都围着主路展开。,
world.guide.yunlai-town.mood,世界信息,武道起点,
world.guide.yunlai-town.recommended-realm,世界信息,凡胎-锻骨,
world.guide.yunlai-town.resource.0,世界信息,主线任务,
world.guide.yunlai-town.resource.1,世界信息,基础补给,
world.guide.yunlai-town.resource.2,世界信息,镇内试手怪,
world.guide.yunlai-town.resource.3,世界信息,可搜索家具,
world.guide.yunlai-town.route,世界信息,镇中接主线，西北入青竹林，南门出荒野，北路可转灵脊岭。,
world.guide.yunlai-town.threat.0,世界信息,零散鼠患,
world.guide.yunlai-town.threat.1,世界信息,夜间匪徒,
world.guide.yunlai-town.title,世界信息,云来镇,
world.map-fallback.ancient-ruins.recommended-realm,世界信息,瑶光-天权,
world.map-fallback.bamboo-forest.recommended-realm,世界信息,易筋-养气,
world.map-fallback.beast-valley.recommended-realm,世界信息,玉衡-天璇,
world.map-fallback.black-iron-mine.recommended-realm,世界信息,养气-玉衡,
world.map-fallback.qizhen-crossing.recommended-realm,世界信息,练气一层-半步筑基,
world.map-fallback.sky-ruins.recommended-realm,世界信息,宗师-叩仙门,
world.map-fallback.spirit-ridge.recommended-realm,世界信息,天玑-大宗师,
world.map-fallback.wildlands.recommended-realm,世界信息,凡胎-锻骨,
world.map-fallback.yunlai-town.recommended-realm,世界信息,凡胎-锻骨,
world.tech-realm.entry,世界信息,武学入门,
world.tech-realm.major,世界信息,先天凝意,
world.tech-realm.minor,世界信息,后天圆熟,
world.tech-realm.perfection,世界信息,半步修真,
attr.craft.open,属性总览,打开,
attr.empty.no-data,属性总览,暂无属性数据,
attr.numeric.actions-per-turn.desc,属性总览,决定每回合最多可以执行的战斗行动次数。,
attr.numeric.actions-per-turn.label,属性总览,每回合行动次数,
attr.numeric.anti-crit.desc,属性总览,压低对手对你造成暴击的概率。,
attr.numeric.anti-crit.label,属性总览,免爆,
attr.numeric.aura-cost-reduce.desc,属性总览,降低光环或阵法持续消耗。,
attr.numeric.aura-cost-reduce.label,属性总览,光环消耗缩减,
attr.numeric.aura-power-rate.desc,属性总览,提高光环或阵法提供的效果。,
attr.numeric.aura-power-rate.label,属性总览,光环效果增强,
attr.numeric.break-power.desc,属性总览,压低目标化解概率；超出目标化解的部分会按概率触发破招，使本次命中与暴击判定翻倍。,
attr.numeric.break-power.label,属性总览,破招,
attr.numeric.cooldown-speed.desc,属性总览,提高技能与效果的冷却流转速度。,
attr.numeric.cooldown-speed.label,属性总览,冷却速度,
attr.numeric.crit-damage.desc,属性总览,决定暴击命中后的伤害倍率。,
attr.numeric.crit-damage.label,属性总览,暴击伤害,
attr.numeric.crit.desc,属性总览,提高暴击触发概率。,
attr.numeric.crit.label,属性总览,暴击,
attr.numeric.dodge.desc,属性总览,提高闪避攻击的概率。,
attr.numeric.dodge.label,属性总览,闪避,
attr.numeric.hit.desc,属性总览,提高攻击命中目标的能力。,
attr.numeric.hit.label,属性总览,命中,
attr.numeric.hp-regen-rate.desc,属性总览,决定每息自动回复的生命值。,
attr.numeric.hp-regen-rate.label,属性总览,生命回复,
attr.numeric.loot-rate.desc,属性总览,提高常规掉落收益。,
attr.numeric.loot-rate.label,属性总览,掉落增幅,
attr.numeric.max-hp.desc,属性总览,决定你在战斗中的生存上限。,
attr.numeric.max-hp.label,属性总览,最大生命值,
attr.numeric.max-qi-output-per-tick.desc,属性总览,限制每息可稳定输出的灵力上限。,
attr.numeric.max-qi-output-per-tick.label,属性总览,灵力输出速率,
attr.numeric.max-qi.desc,属性总览,决定你可承载的灵力总量。,
attr.numeric.max-qi.label,属性总览,最大灵力值,
attr.numeric.move-speed.desc,属性总览,决定每息获得的移动预算。500 以内按原始收益计算，超过后进入软衰减；大路、小路、草地、泥地与沼泽会按不同消耗结算。,
attr.numeric.move-speed.label,属性总览,移动速度,
attr.numeric.phys-atk.desc,属性总览,影响物理系技能；普通攻击会取物理攻击与法术攻击中的较高值结算。,
attr.numeric.phys-atk.label,属性总览,物理攻击,
attr.numeric.phys-def.desc,属性总览,降低受到的物理伤害，化解触发时会按双倍防御重新计算减伤。,
attr.numeric.phys-def.label,属性总览,物理防御,
attr.numeric.player-exp-rate.desc,属性总览,提高境界修为获取效率。,
attr.numeric.player-exp-rate.label,属性总览,境界修为,
attr.numeric.qi-regen-rate.desc,属性总览,决定每息自动回复的灵力值。,
attr.numeric.qi-regen-rate.label,属性总览,灵力回复,
attr.numeric.rare-loot-rate.desc,属性总览,提高稀有掉落收益。,
attr.numeric.rare-loot-rate.label,属性总览,稀有掉落,
attr.numeric.realm-exp-per-tick.desc,属性总览,决定修炼状态下每息获得的境界修为。,
attr.numeric.realm-exp-per-tick.label,属性总览,每息境界修为,
attr.numeric.resolve-power.desc,属性总览,提高化解来招的概率；化解触发时会按双倍防御重新结算本次减伤。,
attr.numeric.resolve-power.label,属性总览,化解,
attr.numeric.spell-atk.desc,属性总览,影响法术系技能与灵术伤害；普通攻击会取物理攻击与法术攻击中的较高值结算。,
attr.numeric.spell-atk.label,属性总览,法术攻击,
attr.numeric.spell-def.desc,属性总览,降低受到的法术伤害，化解触发时会按双倍防御重新计算减伤。,
attr.numeric.spell-def.label,属性总览,法术防御,
attr.numeric.technique-exp-per-tick.desc,属性总览,决定修炼状态下每息获得的功法经验基础值。,
attr.numeric.technique-exp-per-tick.label,属性总览,每息功法经验,
attr.numeric.technique-exp-rate.desc,属性总览,提高功法经验获取效率。,
attr.numeric.technique-exp-rate.label,属性总览,功法经验,
attr.numeric.title.qi-flow,属性总览,灵脉流转,
attr.numeric.view-range.desc,属性总览,决定地图上的可见范围。,
attr.numeric.view-range.label,属性总览,视野范围,
attr.qi-projection.source,属性总览,来源：{sources},
attr.radar.scale,属性总览,刻度 {label},
